Literal,Max
mobile.adult_confirmation.i_agree,25
mobile.global.actions.cancel,25
mobile.global.actions.redeem,25
mobile.global.placeholders.voucher_label,36
mobile.global.placeholders.voucher_input,32
mobile.global.actions.continue,25
mobile.global.actions.accept,25
mobile.interactions.add_to_wishlist_true,20
mobile.interactions.add_to_wishlist_false,20
mobile.account.settings.svod.more_info,25
mobile.global.actions.create,25
mobile.global.placeholders.registration_email_input,32
mobile.global.placeholders.registration_email_label,36
mobile.global.placeholders.registration_password_input,32
mobile.global.placeholders.registration_password_label,36
mobile.global.placeholders.registration_password2_input,32
mobile.global.placeholders.registration_password2_label,36
mobile.payments.credit_card,28
mobile.global.actions.save_and_create,25
mobile.payments.paypal,28
mobile.global.actions.paypal_pair,25
mobile.global.placeholders.signin_email_input,32
mobile.global.placeholders.signin_email_label,36
mobile.global.placeholders.signin_password_input,32
mobile.global.placeholders.signin_password_label,36
mobile.global.actions.signin,25
mobile.account.settings.payments.credit_card,28
mobile.account.settings.payments.paypal,28
mobile.account.settings.user.info,28
mobile.account.settings.user.password,28
mobile.account.settings.user.email_input,32
mobile.account.settings.user.email_label,36
mobile.account.settings.user.user_input,32
mobile.account.settings.user.user_label,36
mobile.account.settings.user.phone_input,32
mobile.account.settings.user.phone_label,36
mobile.account.settings.user.password_input,32
mobile.account.settings.user.password_label,36
mobile.account.settings.user.password_new_input,32
mobile.account.settings.user.password_new_label,36
mobile.account.settings.user.password_new_confirm_input,32
mobile.account.settings.user.password_new_confirm_label,36
mobile.global.actions.update,25
mobile.account.settings.preferences.cookies,28
mobile.account.settings.preferences.parental,28
mobile.purchases.currently_buy,25
mobile.purchases.currently_rent,25
mobile.purchases.paying_with,25
mobile.menu.home,33
mobile.menu.movies,33
mobile.menu.tvshows,33
mobile.menu.account,33
mobile.menu.signin_signup,33
mobile.menu.open,6
mobile.account.library.title,28
mobile.account.wishlist.title,28
mobile.account.settings.title,28
mobile.global.actions.signin,20
mobile.global.actions.create,20
mobile.playback.watch_trailer,25
mobile.interactions.add_to_wishlist_true,25
mobile.interactions.add_to_wishlist_false,25
mobile.tvshows.view_tvshow,25
mobile.playback.watch_on_app,20
mobile.purchases.svod.on_plan,12
mobile.purchases.svod.try,10
mobile.purchases.purchase,10
mobile.purchases.rental,10
mobile.purchases.from,5
mobile.purchases.watch_for_free,10
mobile.vouchers.redeem,20
mobile.search.placeholder,30
mobile.payments.credit_card_form.holdername_input,32
mobile.payments.credit_card_form.holdername_label,36
mobile.payments.credit_card_form.number_input,32
mobile.payments.credit_card_form.number_label,36
mobile.payments.credit_card_form.month_input,10
mobile.payments.credit_card_form.month_label,10
mobile.payments.credit_card_form.year_input,10
mobile.payments.credit_card_form.year_label,10
mobile.payments.credit_card_form.cvc_input,10
mobile.payments.credit_card_form.cvc_label,10
